,0
721,-3.1
722,5.2
723,10.1
724,16.5
725,21.6
726,22.7
727,22.8
728,19.6
729,13.0
730,8.6
731,-3.8
732,0.5
733,1.8
734,10.8
735,15.3
736,22.1
737,26.5
738,26.7
739,26.7
740,24.9
741,18.7
742,13.5
743,0.3
744,28.0
745,5.0
746,32.8
747,216.7
748,90.3
749,118.8
750,259.2
751,331.5
752,58.3
753,44.9
754,10.6
755,46.3
756,-7.0
757,-1.4
758,5.7
759,11.9
760,15.9
761,21.8
762,25.4
763,24.5
764,20.0
765,13.4
766,3.6
767,0.1
768,-2.6
769,2.7
770,11.5
771,17.8
772,20.9
773,26.8
774,29.3
775,28.7
776,25.0
777,18.1
778,7.5
779,4.1
780,21.0
781,12.0
782,55.4
783,55.4
784,80.8
785,109.1
786,463.8
787,192.9
788,129.0
789,34.1
790,46.7
791,16.0
792,-3.6
793,0.6
794,5.9
795,12.3
796,17.9
797,21.9
798,25.1
799,25.4
800,20.8
801,15.8
802,7.9
803,-0.1
804,0.8
805,5.5
806,10.9
807,18.1
808,22.9
809,27.3
810,30.1
811,29.2
812,26.3
813,21.8
814,12.5
815,3.7
816,26.0
817,2.9
818,46.0
819,8.1
820,134.6
821,15.7
822,195.5
823,255.8
824,4.8
825,46.5
826,164.8
827,48.6
828,-1.7
829,-1.7
830,6.4
831,13.6
832,18.5
833,22.2
834,23.6
835,26.0
836,22.0
837,14.2
838,6.7
839,-1.1
840,2.6
841,2.4
842,11.3
843,19.0
844,23.7
845,27.9
846,26.8
847,30.0
848,26.1
849,18.7
850,11.2
851,2.9
852,11.1
853,11.7
854,67.5
855,113.4
856,69.0
857,27.4
858,398.6
859,132.2
860,253.4
861,82.2
862,28.7
863,9.9
864,-5.9
865,-3.5
866,2.5
867,12.1
868,18.2
869,22.6
870,25.2
871,26.3
872,20.1
873,13.8
874,8.1
875,-0.9
876,-1.7
877,1.3
878,7.3
879,17.9
880,24.0
881,27.7
882,29.5
883,30.5
884,25.0
885,19.5
886,12.9
887,3.5
888,10.7
889,14.9
890,11.4
891,41.8
892,35.2
893,105.5
894,269.9
895,330.9
896,348.1
897,21.4
898,35.5
899,24.2
900,-5.9
901,-0.3
902,4.3
903,11.6
904,18.1
905,22.1
906,25.3
907,26.3
908,20.2
909,14.7
910,5.6
911,-3.4
912,-1.2
913,4.2
914,9.5
915,17.8
916,23.6
917,27.3
918,29.2
919,30.4
920,23.9
921,19.6
922,9.5
923,0.4
924,31.2
925,25.9
926,57.8
927,69.0
928,177.4
929,85.4
930,185.2
931,438.9
932,171.7
933,177.8
934,82.4
935,41.9
936,-5.4
937,-3.3
938,4.9
939,11.9
940,17.1
941,21.9
942,23.5
943,24.5
944,19.9
945,12.7
946,5.2
947,1.9
948,-1.4
949,0.7
950,10.2
951,17.8
952,22.5
953,26.3
954,27.0
955,28.3
956,24.7
957,17.2
958,9.5
959,5.4
960,11.7
961,8.3
962,44.3
963,20.6
964,71.5
965,117.1
966,351.8
967,370.3
968,101.0
969,79.6
970,39.3
971,31.9
972,-3.0
973,-0.1
974,4.0
975,10.8
976,17.0
977,22.4
978,23.7
979,24.4
980,20.1
981,15.5
982,7.5
983,0.9
984,1.0
985,4.0
986,8.6
987,16.3
988,22.4
989,27.1
990,27.1
991,28.1
992,25.2
993,20.6
994,12.0
995,4.9
996,43.4
997,36.2
998,34.2
999,55.3
1000,126.6
1001,130.3
1002,651.2
1003,521.8
1004,61.1
1005,21.9
1006,66.8
1007,2.6
1008,-2.1
1009,-1.5
1010,4.3
1011,11.3
1012,17.9
1013,22.3
1014,24.4
1015,26.4
1016,21.4
1017,15.0
1018,5.5
1019,0.1
1020,1.9
1021,3.2
1022,8.8
1023,16.6
1024,23.4
1025,27.3
1026,27.8
1027,31.0
1028,26.5
1029,20.6
1030,10.6
1031,4.3
1032,3.3
1033,4.5
1034,31.3
1035,60.5
